tau,success,cost,path_len,expansions,max_I_on_path,mean_I_on_path,I_start,I_goal,reason
0.3,0,inf,0,112,,,0.0,0.0,no path under irreversibility constraint
0.35,0,inf,0,112,,,0.0,0.0,no path under irreversibility constraint
0.4,0,inf,0,112,,,0.0,0.0,no path under irreversibility constraint
0.45,0,inf,0,112,,,0.0,0.0,no path under irreversibility constraint
0.5,0,inf,0,112,,,0.0,0.0,no path under irreversibility constraint
0.55,0,inf,0,112,,,0.0,0.0,no path under irreversibility constraint
0.6,0,inf,0,112,,,0.0,0.0,no path under irreversibility constraint
0.65,0,inf,0,112,,,0.0,0.0,no path under irreversibility constraint
0.7,0,inf,0,112,,,0.0,0.0,no path under irreversibility constraint
0.75,0,inf,0,112,,,0.0,0.0,no path under irreversibility constraint
0.8,0,inf,0,112,,,0.0,0.0,no path under irreversibility constraint
0.85,1,44.0,45,226,0.85,0.48000000000000004,0.0,0.0,ok
0.9,1,44.0,45,226,0.85,0.48000000000000004,0.0,0.0,ok
0.95,1,44.0,45,408,0.95,0.32555555555555554,0.0,0.0,ok
1.0,1,44.0,45,408,0.95,0.32555555555555554,0.0,0.0,ok
