seed,attack_level,mode,lambda0,T,attack_start,attack_end,mean_score,max_score,ok_plans,episode_success,total_cost,total_risk,max_risk_cell,api_used,last_err,used_toy_fallback
0,0.0,baseline,1.0,12,4,10,0.02539249910552076,0.06921267951329846,12,1,1368.0,572.9812468886375,0.9946810603141785,_adapter_plan_with_lambda,,0
0,0.0,lambda_shaping,1.0,12,4,10,0.02539249910552076,0.06921267951329846,12,1,1368.0,572.9812468886375,0.9946810603141785,_adapter_plan_with_lambda,,0
0,0.7,baseline,1.0,12,4,10,0.36193609940613475,0.6934362500820236,12,1,1368.0,572.9812468886375,0.9946810603141785,_adapter_plan_with_lambda,,0
0,0.7,lambda_shaping,1.0,12,4,10,0.36193609940613475,0.6934362500820236,12,1,1368.0,572.9812468886375,0.9946810603141785,_adapter_plan_with_lambda,,0
1,0.0,baseline,1.0,12,4,10,0.028520464320473754,0.07464854430503476,12,1,1368.0,587.9735493063927,0.9988489747047424,_adapter_plan_with_lambda,,0
1,0.0,lambda_shaping,1.0,12,4,10,0.028520464320473754,0.07464854430503476,12,1,1368.0,587.9735493063927,0.9988489747047424,_adapter_plan_with_lambda,,0
1,0.7,baseline,1.0,12,4,10,0.3743356140738743,0.7179653863790387,12,1,1368.0,587.9735493063927,0.9988489747047424,_adapter_plan_with_lambda,,0
1,0.7,lambda_shaping,1.0,12,4,10,0.3743356140738743,0.7179653863790387,12,1,1368.0,587.9735493063927,0.9988489747047424,_adapter_plan_with_lambda,,0
2,0.0,baseline,1.0,12,4,10,0.02313458104981662,0.07932702353378107,12,1,1368.0,567.8243272304535,0.9948764443397522,_adapter_plan_with_lambda,,0
2,0.0,lambda_shaping,1.0,12,4,10,0.02313458104981662,0.07932702353378107,12,1,1368.0,567.8243272304535,0.9948764443397522,_adapter_plan_with_lambda,,0
2,0.7,baseline,1.0,12,4,10,0.3685661950223044,0.7163586614189404,12,1,1368.0,567.8243272304535,0.9948764443397522,_adapter_plan_with_lambda,,0
2,0.7,lambda_shaping,1.0,12,4,10,0.3685661950223044,0.7163586614189404,12,1,1368.0,567.8243272304535,0.9948764443397522,_adapter_plan_with_lambda,,0
3,0.0,baseline,1.0,12,4,10,0.0264492072567737,0.11122757364155547,12,1,1368.0,576.4408383965492,0.9990406632423401,_adapter_plan_with_lambda,,0
3,0.0,lambda_shaping,1.0,12,4,10,0.0264492072567737,0.11122757364155547,12,1,1368.0,576.4408383965492,0.9990406632423401,_adapter_plan_with_lambda,,0
3,0.7,baseline,1.0,12,4,10,0.36986461000859006,0.7144583616552035,12,1,1368.0,576.4408383965492,0.9990406632423401,_adapter_plan_with_lambda,,0
3,0.7,lambda_shaping,1.0,12,4,10,0.36986461000859006,0.7144583616552035,12,1,1368.0,576.4408383965492,0.9990406632423401,_adapter_plan_with_lambda,,0
4,0.0,baseline,1.0,12,4,10,0.04372273226292739,0.0999117197417359,12,1,1368.0,566.5846574306488,0.9908749461174011,_adapter_plan_with_lambda,,0
4,0.0,lambda_shaping,1.0,12,4,10,0.04372273226292739,0.0999117197417359,12,1,1368.0,566.5846574306488,0.9908749461174011,_adapter_plan_with_lambda,,0
4,0.7,baseline,1.0,12,4,10,0.385200826655621,0.7675818737417208,12,1,1368.0,566.5846574306488,0.9908749461174011,_adapter_plan_with_lambda,,0
4,0.7,lambda_shaping,1.0,12,4,10,0.385200826655621,0.7675818737417208,12,1,1368.0,566.5846574306488,0.9908749461174011,_adapter_plan_with_lambda,,0
5,0.0,baseline,1.0,12,4,10,0.022220337091025878,0.06261335714196564,12,1,1368.0,573.7809171080589,0.9995047450065613,_adapter_plan_with_lambda,,0
5,0.0,lambda_shaping,1.0,12,4,10,0.022220337091025878,0.06261335714196564,12,1,1368.0,573.7809171080589,0.9995047450065613,_adapter_plan_with_lambda,,0
5,0.7,baseline,1.0,12,4,10,0.36237703155568224,0.7480005726699733,12,1,1368.0,573.7809171080589,0.9995047450065613,_adapter_plan_with_lambda,,0
5,0.7,lambda_shaping,1.0,12,4,10,0.36237703155568224,0.7480005726699733,12,1,1368.0,573.7809171080589,0.9995047450065613,_adapter_plan_with_lambda,,0
